instance_key,event_name,event_address_name,event_instance_date,capacity,target_tickets,marketing_skip
d38d96ab-041e-4fcd-a00e-761f0dd55a3a,OTT Invitational: Golf Tournament,"Monarch Bay Golf Club, Monarch Bay Drive, San Leandro, California",2025-10-18 15:30:00+00:00,,,
7a39eb83-1baa-48d9-81de-9b0e7b2095b5,The Blend: Coffee and R&B @ Rivian,"340 Fell St, San Francisco, CA 94102",2025-10-25 18:00:00+00:00,500.0,,
a281c1e2-03bc-4a49-973d-adad12c4638a,The Blend: Coffee and R&B Day Party,"Kinfolx, Telegraph Avenue, Oakland, California",2025-11-01 19:00:00+00:00,500.0,,
5077c40f-b20f-4a81-b5a3-4d36e6b5753d,Pilates Saturday x FitSprings,"FitSprings Pilates, Myrtle St, San Francisco, California",2025-11-08 17:30:00+00:00,,,
d58584f6-75ac-4b0e-8599-3baa4e1385e9,OTT Dinner Series ,"2327 Mission St, San Francisco, CA 94110, USA",2025-12-07 02:00:00+00:00,,,
8ca71eeb-bc96-4c09-840e-4dd3ce85807e,🎅🏽 The Blend: Coffee and R&B - Holiday SZN,"Kinfolx, Telegraph Avenue, Oakland, California",2025-12-13 19:00:00+00:00,500.0,,
ae1825b1-f54a-4249-9ceb-0d8e80fe66d3,The Blend: Coffee and R&B - San Jose,"Nirvana Soul Coffee, S 1st St, San Jose, California",2026-01-17 19:00:00+00:00,500.0,,True
204f9aa9-12da-4fd8-916a-82be0bd5a901,Views from the A: Atlanta-Music Party,"575 Howard St, San Francisco, CA 94105, USA",2026-01-25 05:00:00+00:00,,,
568f5d05-0358-43d2-aae7-ebfaaccc7a0a,The Blend: Coffee and R&B - Oakland,"HELLA BEES, Harrison Street, Oakland, California",2026-01-31 19:00:00+00:00,500.0,,
538617f2-f8c4-4671-b5d1-c16b57c673ad,Super Bowl Weekend Yacht Party,"3 Pier 1, San Francisco, California",2026-02-07 02:00:00+00:00,,,
821e5b62-9c6c-4b32-9c9f-2c751a47cf37,Super Bowl: SF Fit Fest,"370 Drumm St, San Francisco, CA 94111",2026-02-07 18:00:00+00:00,,,
f8ccbad9-0af2-4610-9812-08c14a1f49c0,The Blend: Coffee and R&B - Black Joy Weekend,"HELLA BEES, Harrison Street, Oakland, California",2026-02-21 19:00:00+00:00,500.0,,
b14fdd90-f72d-4c7d-aed8-477ab84c0397,Red Bull Showrun Social Meetup ,"Marina Blvd, San Francisco, California",2026-02-21 19:30:00+00:00,,,
2322b225-0b5e-48e3-b6b1-c6cc0eab0009,OTT Tahoe Ski Weekend,"Margaritaville Resort Lake Tahoe, Lake Tahoe Boulevard, South Lake Tahoe, California",2026-02-27 02:00:00+00:00,,,
57c51da5-3004-4b2d-be89-82ea6b038c3e,The Blend: Coffee and R&B Day Party,"9819 Horn Rd, Sacramento, CA 95827",2026-03-21 18:20:00+00:00,500.0,,
10524b34-39a2-4a7d-899e-3e96e0a9aaf3,The Blend: Coffee and R&B Day Party,"HELLA BEES, Harrison Street, Oakland, California",2026-03-28 18:00:00+00:00,500.0,,
cadee9c5-2e9d-49e7-89ac-1a5cb0ec8c1e,The Blend: Coffee and R&B Day Party @ W San Francisco,"W San Francisco, 3rd Street, San Francisco, California",2026-04-18 18:00:00+00:00,500.0,,
dabee646-4cdb-40b2-a353-55543b41a5b6,The Blend: After Party,"Southside Spirit House, Howard Street, San Francisco, CA",2026-04-18 22:00:00+00:00,500.0,,True
f25a385a-b9c1-4293-b410-d75eac1ae651,The Blend: Coffee and R&B Day Party,"HELLA BEES, Harrison Street, Oakland, California",2026-05-09 18:00:00+00:00,500.0,,
f7b31bfb-d652-401b-ad1f-f43bf9d1b480,Brunch & Build Series,"High 5ive Rooftop Bar, 25th Street, Oakland, California",2026-05-16 18:00:00+00:00,200.0,,
8f1d06bf-4e06-4077-947c-cd7275841755,SF Fit Fest: World Cup Edition,"370 Drumm St, San Francisco, CA 94111",2026-06-13 17:00:00+00:00,500.0,1000.0,
